dept	gr	sp	cal	lld	msfl	lls	hac	den	cnl	rmn	rmg
1383.375	108.52	61.654	23.473	3.825	4.647	3.7	307.982	2.4	24.378	2.591	2.466
1383.5	113.053	62.803	23.333	3.114	3.486	3.085	374.835	2.428	26.573	2.248	2.284
1383.625	114.55	63.528	23.36	2.916	3.377	2.882	348.218	2.456	27.38	2.377	2.375
1383.75	114.574	64.181	23.599	2.975	4.159	2.885	242.91	2.491	26.846	2.847	2.889
1383.875	112.936	64.278	23.786	3.323	3.907	3.145	261.532	2.501	25.937	2.89	2.859
1384	107.714	64.149	23.996	3.901	4.146	3.596	280.647	2.484	25.619	3.318	3.1
1384.125	104.207	63.998	24.064	4.022	5.25701	3.712	276.836	2.466	25.864	4.045	3.795
1384.25	100.007	63.804	24.12	4.105	5.98899	3.796	283.7	2.458	26.099	4.644	4.853
1384.375	98.66	63.718	24.154	4.356	4.513	4.003	287.239	2.463	25.683	4.002	4.007
1384.5	98.342	63.711	24.222	4.398	3.929	4.058	277.431	2.472	24.382	3.703	3.161
1384.625	98.129	63.815	24.284	4.316	4.61201	3.986	274.121	2.476	23.473	4.943	4.853
1384.75	100.489	64.067	24.332	4.371	5.241	4.013	277.221	2.488	22.737	4.94299	4.91299
1384.875	103.13	64.28	24.288	4.495	5.144	4.1	284.438	2.493	22.821	4.088	3.856
1385	107.173	64.652	24.019	4.245	4.471	3.927	280.716	2.483	23.421	3.446	3.07
